2025-01-31 19:10:02,932 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/10 AM/DJI_0594-3.MP4
2025-01-31 19:10:10,568 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/10 AM/DJI_0611-1.MP4
2025-01-31 19:10:24,273 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/10 AM/DJI_0610-2.MP4
2025-01-31 19:10:33,595 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 AM/DJI_0795 2.MP4
2025-01-31 19:10:59,327 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 PM/DJI_0786.MP4
2025-01-31 19:11:06,822 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 PM/DJI_0787.MP4
2025-01-31 19:11:26,079 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 PM/DJI_0788.MP4
2025-01-31 19:11:32,847 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 PM/DJI_0789.MP4
2025-01-31 19:11:56,273 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 PM/DJI_0791.MP4
2025-01-31 19:12:12,068 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 PM/DJI_0793.MP4
2025-01-31 19:12:23,786 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/4 PM/DJI_0773-1.MP4
2025-01-31 19:12:40,700 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/3 PM/DJI_0767-1.MP4
2025-01-31 19:12:47,292 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/3 PM/DJI_0769-2.MP4
2025-01-31 19:12:59,227 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/3 PM/DJI_0770-2.MP4
2025-01-31 19:13:21,017 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/3 PM/DJI_0771-2.MP4
2025-01-31 19:13:24,766 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-19-2025/3 PM/DJI_0772-1.MP4
2025-01-31 19:14:09,258 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-14-2025/10 PM/DJI_0136.MP4
2025-01-31 19:14:16,125 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-14-2025/5 AM/DJI_0059.MP4
2025-01-31 19:14:19,920 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-14-2025/5 AM/DJI_0060.MP4
2025-01-31 19:14:29,847 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-14-2025/5 AM/DJI_0063.MP4
2025-01-31 19:14:34,795 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-14-2025/5 AM/DJI_0086.MP4
2025-01-31 19:14:46,326 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-14-2025/5 AM/DJI_0103.MP4
2025-01-31 19:14:56,016 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-14-2025/5 AM/DJI_0104.MP4
2025-01-31 19:15:13,308 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-12-2025/12 AM/DJI_0432.MP4
